Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Document Type,Publication Stage,Open Access,Source,EID
"Mizuno M., Sumii E.","57194455436;6602549879;","Formal verifications of call-by-need and call-by-name evaluations with mutual recursion",2019,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","11893 LNCS",,,"181","201",,2,"10.1007/978-3-030-34175-6_10","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076706625&doi=10.1007%2f978-3-030-34175-6_10&partnerID=40&md5=ecc219cb166e57bce4af21db84c743a2","We present new proofs—formalized in the Coq proof assistant—of the correspondence among call-by-need and (various definitions of) call-by-name evaluations of λ-calculus with mutually recursive bindings. For non-strict languages, the equivalence between high-level specifications (call-by-name) and typical implementations (call-by-need) is of foundational interest. A particular milestone is Launchbury’s natural semantics of call-by-need evaluation and proof of its adequacy with respect to call-by-name denotational semantics, which are recently formalized in Isabelle/HOL by Breitner (2018). Equational theory by Ariola et al. is another well-known formalization of call-by-need. Mutual recursion is especially challenging for their theory: reduction is complicated by the traversal of dependency (the “need” relation), and the correspondence of call-by-name and call-by-need reductions becomes non-trivial, requiring sophisticated structures such as graphs or infinite trees. In this paper, we give arguably simpler proofs solely based on (finite) terms and operational semantics, which are easier to handle for proof assistants (Coq in our case). Our proofs can be summarized as follows: (1) we prove the equivalence between Launchbury’s call-by-need semantics and heap-based call-by-name natural semantics, where we define a sufficiently (but not too) general correspondence between the two heaps, and (2) we also show the correspondence among three styles of call-by-name semantics: (i) the natural semantics used in (1); (ii) closure-based natural semantics that informally corresponds to Launchbury’s denotational semantics; and (iii) conventional substitution-based semantics. © Springer Nature Switzerland AG 2019.",Conference Paper,"Final","",Scopus,2-s2.0-85076706625
"Dagnino F.","57190810538;","Coaxioms: Flexible coinductive definitions by inference systems",2019,"Logical Methods in Computer Science","15","1",,"26:1","26:48",,13,"10.23638/LMCS-15(1:26)2019","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070356277&doi=10.23638%2fLMCS-15%281%3a26%292019&partnerID=40&md5=46c6fed2e58964aa9555ea3b8047ced2","We introduce a generalized notion of inference system to support more exible interpretations of recursive definitions. Besides axioms and inference rules with the usual meaning, we allow also coaxioms, which are, intuitively, axioms which can only be applied “at infinite depth” in a proof tree. Coaxioms allow us to interpret recursive definitions as fixed points which are not necessarily the least, nor the greatest one, whose existence is guaranteed by a smooth extension of classical results. This notion nicely subsumes standard inference systems and their inductive and coinductive interpretation, thus allowing formal reasoning in cases where the inductive and coinductive interpretation do not provide the intended meaning, but are rather mixed together. © 2019 F. Dagnino. All rights reserved.",Article,"Final","",Scopus,2-s2.0-85070356277
"Altisen K., Corbineau P., Devismes S.","13002861000;23391807900;8922025800;","Squeezing Streams and Composition of Self-stabilizing Algorithms",2019,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","11535 LNCS",,,"21","38",,,"10.1007/978-3-030-21759-4_2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067369612&doi=10.1007%2f978-3-030-21759-4_2&partnerID=40&md5=100a8676428f9a6ac509b1f61c05c2d6","Composition is a fundamental tool when dealing with complex systems. We study the hierarchical collateral composition which is used to combine self-stabilizing distributed algorithms. The PADEC library is a framework developed with the Coq proof assistant and dedicated to the certification of self-stabilizing algorithms. We enrich PADEC with the composition operator and a sufficient condition to show its correctness. The formal proof of the condition leads us to develop new tools and methods on potentially infinite streams, these latter ones being used to model the algorithms’ executions. The cornerstone has been the definition of the function which removes duplicates from streams. © 2019, IFIP International Federation for Information Processing.",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-85067369612
"Vesely F., Fisher K.","56426896700;57214548612;","One Step at a Time: A Functional Derivation of Small-Step Evaluators from Big-Step Counterparts",2019,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","11423 LNCS",,,"205","231",,,"10.1007/978-3-030-17184-1_8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064891599&doi=10.1007%2f978-3-030-17184-1_8&partnerID=40&md5=4d948a8d5413a2a8058d34a7c99c3da0","Big-step and small-step are two popular flavors of operational semantics. Big-step is often seen as a more natural transcription of informal descriptions, as well as being more convenient for some applications such as interpreter generation or optimization verification. Small-step allows reasoning about non-terminating computations, concurrency and interactions. It is also generally preferred for reasoning about type systems. Instead of having to manually specify equivalent semantics in both styles for different applications, it would be useful to choose one and derive the other in a systematic or, preferably, automatic way. Transformations of small-step semantics into big-step have been investigated in various forms by Danvy and others. However, it appears that a corresponding transformation from big-step to small-step semantics has not had the same attention. We present a fully automated transformation that maps big-step evaluators written in direct style to their small-step counterparts. Many of the steps in the transformation, which include CPS-conversion, defunctionalisation, and various continuation manipulations, mirror those used by Danvy and his co-authors. For many standard languages, including those with either call-by-value or call-by-need and those with state, the transformation produces small-step semantics that are close in style to handwritten ones. We evaluate the applicability and correctness of the approach on 20 languages with a range of features. © The Author(s) 2019.",Conference Paper,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85064891599
"Chrzaszcz J., Schubert A., Zakrzewski J.","22733519300;22434439600;34868863200;","Coq support in HAHA",2018,"Leibniz International Proceedings in Informatics, LIPIcs","97",,"8","","",,,"10.4230/LIPIcs.TYPES.2016.8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057002139&doi=10.4230%2fLIPIcs.TYPES.2016.8&partnerID=40&md5=b6a615d790e19aa077ca930cafc1605b","HAHA is a tool that helps in teaching and learning Hoare logic. It is targeted at an introductory course on software verification. We present a set of new features of the HAHA verification environment that exploit Coq. These features are (1) generation of verification conditions in Coq so that they can be explored and proved interactively and (2) compilation of HAHA programs into CompCert certified compilation tool-chain. With the interactive Coq proving support we obtain an interesting functionality that makes it possible to carefully examine step-by-step verification conditions and systematically discover flaws in their formulation. As a result Coq back-end serves as a kind of specification debugger. © Jacek Chrzaszcz, Aleksy Schubert, and Jakub Zakrzewski; licensed under Creative Commons License CC-BY 22nd International Conference on Types for Proofs and Programs (TYPES 2016).",Conference Paper,"Final","",Scopus,2-s2.0-85057002139
"Allombert V., Gava F., Tesson J.","56217786100;22733956400;24385840500;","A Formal Semantics of the MULTI-ML Language",2018,"Proceedings - 17th International Symposium on Parallel and Distributed Computing, ISPDC 2018",,,"8452036","180","187",,2,"10.1109/ISPDC2018.2018.00033","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053897826&doi=10.1109%2fISPDC2018.2018.00033&partnerID=40&md5=d8ef359335e132bb19aea21cd82473cf","In the context of high performance computing, it is important to avoid indeterminism and dead-locks. Multi-ML is a functional parallel programming language 'à la ML', designed to program hierarchical architectures in a structured way. It is based of the Multi-BSP bridging model. To ensure that a program 'cannot go wrong', we first need to define how a program 'goes'. To do so, we propose a formal operational semantics of the Multi-ML language to ensure the properties of the Multi-BSP model. We first describe a core-language and then introduce the big step's semantics evaluation rules. Then, we propose a set of evaluation rules that describe the behaviour of the Multi-ML language. The memory model is also precisely defined, as the Multi-BSP model deals with multiple level of nested memories. © 2018 IEEE.",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-85053897826
"Ancona D., Dagnino F., Zucca E.","7003625858;57190810538;7005642627;","Modeling infinite behaviour by corules",2018,"Leibniz International Proceedings in Informatics, LIPIcs","109",,,"","",,7,"10.4230/LIPIcs.ECOOP.2018.21","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052025635&doi=10.4230%2fLIPIcs.ECOOP.2018.21&partnerID=40&md5=80f3f348f610bdac2a6dd00c7d00d7cf","Generalized inference systems have been recently introduced, and used, among other applications, to define semantic judgments which uniformly model terminating computations and divergence. We show that the approach can be successfully extended to more sophisticated notions of infinite behaviour, that is, to express that a diverging computation produces some possibly infinite result. This also provides a motivation to smoothly extend the theory of generalized inference systems to include, besides coaxioms, also corules, a more general notion for which significant examples were missing until now. We first illustrate the approach on a λ-calculus with output effects, for which we also provide an alternative semantics based on standard notions, and a complete proof of the equivalence of the two semantics. Then, we consider a more involved example, that is, an imperative Java-like language with I/O primitives. © Davide Ancona, Francesco Dagnino, and Elena Zucca.",Conference Paper,"Final","",Scopus,2-s2.0-85052025635
"Kunze F., Smolka G., Forster Y.","57191570609;7003699258;57195678770;","Formal Small-Step Verification of a Call-by-Value Lambda Calculus Machine",2018,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","11275 LNCS",,,"264","283",,4,"10.1007/978-3-030-02768-1_15","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057787290&doi=10.1007%2f978-3-030-02768-1_15&partnerID=40&md5=09df956eb510b76bd0d9597f893d3caf","We formally verify an abstract machine for a call-by-value -calculus with de Bruijn terms, simple substitution, and small-step semantics. We follow a stepwise refinement approach starting with a naive stack machine with substitution. We then refine to a machine with closures, and finally to a machine with a heap providing structure sharing for closures. We prove the correctness of the three refinement steps with compositional small-step bottom-up simulations. There is an accompanying Coq development verifying all results. © 2018, Springer Nature Switzerland AG.",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-85057787290
"Dagnino F.","57190810538;","Flexible coinduction for infinite behaviour",2018,"CEUR Workshop Proceedings","2243",,,"17","23",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056885512&partnerID=40&md5=25a3c83a0334952f1cc76d4e31dfccb3","Generalized inference systems have been recently defined to overcome the strong dichotomy between inductive and coinductive interpretations. They support a flexible form of coinduction, subsuming even induction, which allows one to mediate between the two standard semantics. Recently, this framework has been successfully adopted to define semantic judgments which uniformly model finite and infinite computations. In this communication, we survey these results and outline directions for further developments. © 2018 CEUR-WS. All rights reserved.",Conference Paper,"Final","",Scopus,2-s2.0-85056885512
"Komauli F., Momigliano A.","57204057126;6602312633;","Property-based testing of the meta-theory of abstract machines: An experience report",2018,"CEUR Workshop Proceedings","2214",,,"22","39",,2,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054338307&partnerID=40&md5=5d24ba1140279ce9d953fcd465421d94","Contrary to Dijkstra's diktat, testing, and more in general validation has found an increasing niche in formal verification, prior or even in alternative to theorem proving. In particular, property-based testing (PBT) is quite effective in mechanized meta-theory of programming languages, where theorems have shallow but tedious proofs that may go wrong for fairly banal mistakes. In this report, we abandon the comfort of high-level object languages and address the validation of abstract machines and typed assembly languages. We concentrate on Appel et al.'s list-machine benchmark [ADL12], which we tackle with αCheck, the simple model-checker on top of the nominal logic programming αProlog. We uncover one major bug in the published version of the paper plus several typos and ambiguities thereof. This is particularly striking, as the paper is accompanied by two full formalizations, in Coq and Twelf. Finally, we carry out some mutation testing on the given model, to asses the trade-off between exhaustive and randomized data generation, using for the latter the PBT library FSCheck for F#. Spoiler alert: aProlog performs better. © Copyright 2018 for the individual papers by the papers' authors.",Conference Paper,"Final","",Scopus,2-s2.0-85054338307
"Ancona D., Dagnino F., Zucca E.","7003625858;57190810538;7005642627;","Reasoning on divergent computations with coaxioms",2017,"Proceedings of the ACM on Programming Languages","1","OOPSLA","81","","",,11,"10.1145/3133905","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083973751&doi=10.1145%2f3133905&partnerID=40&md5=d3df7dc8415c7247c298661aa53ce70c","Coaxioms have been recently introduced to enhance the expressive power of inference systems, by supporting interpretations which are neither purely inductive, nor coinductive. This paper proposes a novel approach based on coaxioms to capture divergence in semantic definitions by allowing inductive and coinductive semantic rules to be merged together for defining a unique semantic judgment. In particular, coinduction is used to derive a special result which models divergence. In this way, divergent, terminating, and stuck computations can be properly distinguished even in semantic definitions where this is typically difficult, as in big-step style. We show how the proposed approach can be applied to several languages; in particular, we first illustrate it on the paradigmatic example of the -calculus, then show how it can be adopted for defining the big-step semantics of a simple imperative Java-like language. We provide proof techniques to show classical results, including equivalence with small-step semantics, and type soundness for typed versions of both languages. © 2017 Copyright held by the owner/author(s).",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-85083973751
"Mizuno M., Sumii E.","57194455436;6602549879;","Formal verification of functional programs performing infinite input/output",2017,"Computer Software","34","2",,"114","119",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020198587&partnerID=40&md5=5132fa8c1a95d0f7fcf0afede337d840","Although formal verification of compilers is extensively studied, compilers for higher-order functional programming languages with side effects such as input and output are rarely verified. This is due to the difficulty of formalizing the semantics of programs performing infinite input and output. We have mechanically verified the K-normalization of call-by-value higher-order functional programs with recursive functions, pairs, and external function calls that can possibly cause side effects, by the Coq proof assistant. K-normalization is a program transformation that gives explicit names to all subexpressions via let-expressions. Its for-malization is non-trivial because of the manipulation of bindings. We defined the meanings of programs as infinite sequences of external function calls, using coinductive big-step operational semantics. We also adopted de Bruijn indices by comparison with other techniques to represent bindings.",Article,"Final","",Scopus,2-s2.0-85020198587
"Bach Poulsen C., Mosses P.D.","56592138600;6701810942;","Flag-based big-step semantics",2017,"Journal of Logical and Algebraic Methods in Programming","88",,,"174","190",,6,"10.1016/j.jlamp.2016.05.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85025578212&doi=10.1016%2fj.jlamp.2016.05.001&partnerID=40&md5=e7127c54f6f515bc85a0b7e87828832b","Structural operational semantic specifications come in different styles: small-step and big-step. A problem with the big-step style is that specifying divergence and abrupt termination gives rise to annoying duplication. We present a novel approach to representing divergence and abrupt termination in big-step semantics using status flags. This avoids the duplication problem, and uses fewer rules and premises for representing divergence than previous approaches in the literature. © 2016 Elsevier Inc.",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85025578212
"Allombert V., Gava F., Tesson J.","56217786100;22733956400;24385840500;","Multi-ML: Programming Multi-BSP Algorithms in ML",2017,"International Journal of Parallel Programming","45","2",,"340","361",,7,"10.1007/s10766-016-0417-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962132611&doi=10.1007%2fs10766-016-0417-6&partnerID=40&md5=57f1c2ba97dabf3bc06fa372d1dcec22","bsp is a bridging model between abstract execution and concrete parallel systems. Structure and abstraction brought by bsp allow to have portable parallel programs with scalable performance predictions, without dealing with low-level details of architectures. In the past, we designed bsml for programming bsp algorithms in ml. However, the simplicity of the bsp model does not fit the complexity of today’s hierarchical architectures such as clusters of machines with multiple multi-core processors. The multi-bsp model is an extension of the bsp model which brings a tree-based view of nested components of hierarchical architectures. To program multi-bsp algorithms in ml, we propose the multi-ml language as an extension of bsml where a specific kind of recursion is used to go through a hierarchy of computing nodes. We define a formal semantics of the language and present preliminary experiments which show performance improvements with respect to bsml. © 2016, Springer Science+Business Media New York.",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84962132611
"Amin N., Rompf T.","55602112900;35107892800;","Type soundness proofs with definitional interpreters",2017,"ACM SIGPLAN Notices","52","1",,"666","679",,3,"10.1145/3009837.3009866","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119351253&doi=10.1145%2f3009837.3009866&partnerID=40&md5=b99c71baa1ce45ac2263f0dff566e0b6","While type soundness proofs are taught in every graduate PL class, the gap between realistic languages and what is accessible to formal proofs is large. In the case of Scala, it has been shown that its formal model, the Dependent Object Types (DOT) calculus, cannot simultaneously support key metatheoretic properties such as environment narrowing and subtyping transitivity, which are usually required for a type soundness proof. Moreover, Scala and many other realistic languages lack a general substitution property. The first contribution of this paper is to demonstrate how type soundness proofs for advanced, polymorphic, type systems can be carried out with an operational semantics based on high-level, definitional interpreters, implemented in Coq. We present the first mechanized soundness proofs in this style for System F and several extensions, including mutable references. Our proofs use only straightforward induction, which is significant, as the combination of big-step semantics, mutable references, and polymorphism is commonly believed to require coinductive proof techniques. The second main contribution of this paper is to show how DOT-like calculi emerge from straightforward generalizations of the operational aspects of F, exposing a rich design space of calculi with path-dependent types inbetween System F and DOT, which we dub the System D Square. By working directly on the target language, definitional interpreters can focus the design space and expose the invariants that actually matter at runtime. Looking at such runtime invariants is an exciting new avenue for type system design. © 2017 ACM.",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85119351253
"Giannini P., Shaqiri A.","7004349370;55916154000;","A provably correct compilation of functional languages into scripting languages",2017,"Scientific Annals of Computer Science","27","1",,"19","76",,,"10.7561/SACS.2017.1.19","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042416184&doi=10.7561%2fSACS.2017.1.19&partnerID=40&md5=744a32f5114697f42d3d5a00407af3a7","In this paper we consider the problem of translating core F#, a typed functional language including mutable variables and exception handling, into scripting languages such as JavaScript or Python. In previous work, we abstracted the most significant characteristics of scripting languages in an intermediate language (IL for short). IL is a block-structured imperative language in which a definition of a name does not have to statically precede its use. We define a big-step operational semantics for core F# and for IL and formalise the translation of F# expressions into IL. The main contribution of the paper is the proof of correctness of the given translation, which is done by showing that the evaluation of a well-typed F# program converges to a primitive value if and only if the evaluation of its translation into IL converges to the same value. © 2017, Alexandru Ioan Cuza University of Iasi. All rights reserved.",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85042416184
"Ancona D., Dagnino F., Zucca E.","7003625858;57190810538;7005642627;","Generalizing inference systems by coaxioms",2017,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","10201 LNCS",,,"29","55",,18,"10.1007/978-3-662-54434-1_2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018674863&doi=10.1007%2f978-3-662-54434-1_2&partnerID=40&md5=20d7702cfec5836425a70e71ae0c37a8","We introduce a generalized notion of inference system to support structural recursion on non well-founded datatypes. Besides axioms and inference rules with the usual meaning, a generalized inference system allows coaxioms, which are, intuitively, axioms which can only be applied “at infinite depth” in a proof tree. This notion nicely subsumes standard inference systems and their inductive and coinductive interpretation, while providing more flexibility. Indeed, the classical results on the existence and constructive characterization of least and greatest fixed points can be extended to our generalized framework, interpreting recursive definitions as fixed points which are not necessarily the least, nor the greatest one. This allows formal reasoning in cases where the inductive and coinductive interpretation do not provide the intended meaning, or are mixed together. © Springer-Verlag GmbH Germany 2017.",Conference Paper,"Final","",Scopus,2-s2.0-85018674863
"Amin N., Rompf T.","55602112900;35107892800;","Type soundness proofs with definitional interpreters",2017,"Conference Record of the Annual ACM Symposium on Principles of Programming Languages",,,,"666","679",,34,"10.1145/3009837.3009866","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85015315833&doi=10.1145%2f3009837.3009866&partnerID=40&md5=5fb885c7b5ce0a72134d21bc890e1f56","While type soundness proofs are taught in every graduate PL class, the gap between realistic languages and what is accessible to formal proofs is large. In the case of Scala, it has been shown that its formal model, the Dependent Object Types (DOT) calculus, cannot simultaneously support key metatheoretic properties such as environment narrowing and subtyping transitivity, which are usually required for a type soundness proof. Moreover, Scala and many other realistic languages lack a general substitution property. The first contribution of this paper is to demonstrate how type soundness proofs for advanced, polymorphic, type systems can be carried out with an operational semantics based on high-level, definitional interpreters, implemented in Coq. We present the first mechanized soundness proofs in this style for System F<: and several extensions, including mutable references. Our proofs use only straightforward induction, which is significant, as the combination of big-step semantics, mutable references, and polymorphism is commonly believed to require coinductive proof techniques. The second main contribution of this paper is to show how DOT-like calculi emerge from straightforward generalizations of the operational aspects of F<:, exposing a rich design space of calculi with path-dependent types inbetween System F and DOT, which we dub the System D Square. By working directly on the target language, definitional interpreters can focus the design space and expose the invariants that actually matter at runtime. Looking at such runtime invariants is an exciting new avenue for type system design. © 2017 ACM.",Conference Paper,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85015315833
"Ancona D., Corradi A.","7003625858;36924831900;","Semantic subtyping for imperative object-oriented languages",2016,"ACM SIGPLAN Notices","51","10",,"568","587",,4,"10.1145/2983990.2983992","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084584281&doi=10.1145%2f2983990.2983992&partnerID=40&md5=cca972d2322dd7885bc498af59f992bb","Semantic subtyping is an approach for defining sound and complete procedures to decide subtyping for expressive types, including union and intersection types; although it has been exploited especially in functional languages for XML based programming, recently it has been partially investigated in the context of object-oriented languages, and a sound and complete subtyping algorithm has been proposed for record types, but restricted to immutable fields, with union and recursive types interpreted coinductively to support cyclic objects. In this work we address the problem of studying semantic subtyping for imperative object-oriented languages, where fields can be mutable; in particular, we add read/write field annotations to record types, and, besides union, we consider intersection types as well, while maintaining coinductive interpretation of recursive types. In this way, we get a richer notion of type with a flexible subtyping relation, able to express a variety of type invariants useful for enforcing static guarantees for mutable objects. The addition of these features radically changes the defi- nition of subtyping, and, hence, the corresponding decision procedure, and surprisingly invalidates some subtyping laws that hold in the functional setting. We propose an intuitive model where mutable record val- ues contain type information to specify the values that can be correctly stored in fields. Such a model, and the correspond- ing subtyping rules, require particular care to avoid circularity between coinductive judgments and their negations which, by duality, have to be interpreted inductively. A sound and complete subtyping algorithm is provided, together with a prototype implementation. © 2016 ACM.",Article,"Final","",Scopus,2-s2.0-85084584281
"Ancona D., Corradi A.","7003625858;36924831900;","Semantic subtyping for imperative object-oriented languages",2016,"Proceedings of the Conference on Object-Oriented Programming Systems, Languages, and Applications, OOPSLA","02-04-November-2016",,,"568","587",,6,"10.1145/2983990.2983992","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84995571206&doi=10.1145%2f2983990.2983992&partnerID=40&md5=8d170a7aa138a82c9708c05dedd7647d","Semantic subtyping is an approach for defining sound and complete procedures to decide subtyping for expressive types, including union and intersection types; although it has been exploited especially in functional languages for XML based programming, recently it has been partially investigated in the context of object-oriented languages, and a sound and complete subtyping algorithm has been proposed for record types, but restricted to immutable fields, with union and recursive types interpreted coinductively to support cyclic objects. In this work we address the problem of studying semantic subtyping for imperative object-oriented languages, where fields can be mutable; in particular, we add read/write field annotations to record types, and, besides union, we consider intersection types as well, while maintaining coinductive interpretation of recursive types. In this way, we get a richer notion of type with a flexible subtyping relation, able to express a variety of type invariants useful for enforcing static guarantees for mutable objects. The addition of these features radically changes the definition of subtyping, and, hence, the corresponding decision procedure, and surprisingly invalidates some subtyping laws that hold in the functional setting. We propose an intuitive model where mutable record values contain type information to specify the values that can be correctly stored in fields. Such a model, and the corresponding subtyping rules, require particular care to avoid circularity between coinductive judgments and their negations which, by duality, have to be interpreted inductively. A sound and complete subtyping algorithm is provided, together with a prototype implementation. © 2016 ACM.",Conference Paper,"Final","",Scopus,2-s2.0-84995571206
"Rodríguez L., Pagano M., Fridlender D.","56378353700;35113727800;55862105200;","Proving Correctness of a Compiler Using Step-indexed Logical Relations",2016,"Electronic Notes in Theoretical Computer Science","323",,,"197","214",,4,"10.1016/j.entcs.2016.06.013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84995542952&doi=10.1016%2fj.entcs.2016.06.013&partnerID=40&md5=cb41013dac13f5807a67a8a93b736755","In this paper we prove the correctness of a compiler for a call-by-name language using step-indexed logical relations and biorthogonality. The source language is an extension of the simply typed lambda-calculus with recursion, and the target language is an extension of the Krivine abstract machine. We formalized the proof in the Coq proof assistant. © 2016 The Author(s)",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-84995542952
"Poulsen C.B., Néron P., Tolmach A., Visser E.","56592138600;54787996300;6602314634;7004411487;","Scopes describe frames: A uniform model for memory layout in dynamic semantics",2016,"Leibniz International Proceedings in Informatics, LIPIcs","56",,,"201","2026",,6,"10.4230/LIPIcs.ECOOP.2016.20","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84982798864&doi=10.4230%2fLIPIcs.ECOOP.2016.20&partnerID=40&md5=b1095051c71c0186f9bb6bf0a5d0cd71","Semantic specifications do not make a systematic connection between the names and scopes in the static structure of a program and memory layout, and access during its execution. In this paper we introduce a systematic approach to the alignment of names in static semantics and memory in dynamic semantics, building on the scope graph framework for name resolution. We develop a uniform memory model consisting of frames that instantiate the scopes in the scope graph of a program. This provides a language-independent correspondence between static scopes and run-time memory layout, and between static resolution paths and run-time memory access paths. The approach scales to a range of binding features, supports straightforward type soundness proofs, and provides the basis for a language-independent specification of sound reachabilitybased garbage collection. © Casper Bach Poulsen, Pierre Néron, Andrew Tolmach, and Eelco Visser; licensed under Creative Commons License CC-BY.",Conference Paper,"Final","",Scopus,2-s2.0-84982798864
"Cheney J., Momigliano A., Pessina M.","7005251362;6602312633;57190121541;","Advances in property-based testing for αprolog",2016,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","9762",,,"37","56",,10,"10.1007/978-3-319-41135-4_3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84977503558&doi=10.1007%2f978-3-319-41135-4_3&partnerID=40&md5=3e6052601fcfdd49c73b1a37f25b983b","αCheck is a light-weight property-based testing tool built on top of αProlog, a logic programming language based on nominal logic. αProlog is particularly suited to the validation of the meta-theory of formal systems, for example correctness of compiler translations involving name-binding, alpha-equivalence and capture-avoiding substitution. In this paper we describe an alternative to the negation elimination algorithm underlying αCheck that substantially improves its effectiveness. To substantiate this claim we compare the checker performances w.r.t. two of its main competitors in the logical framework niche, namely the QuickCheck/Nitpick combination offered by Isabelle/HOL and the random testing facility in PLT-Redex. © Springer International Publishing Switzerland 2016.",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-84977503558
"Owens S., Myreen M.O., Kumar R., Tan Y.K.","7102978424;23088605400;56329415700;56493680100;","Functional big-step semantics",2016,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","9632",,,"589","615",,51,"10.1007/978-3-662-49498-1_23","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961751168&doi=10.1007%2f978-3-662-49498-1_23&partnerID=40&md5=3454c7765ecf95e5c095941f1daa8d81","When doing an interactive proof about a piece of software, it is important that the underlying programming language’s semantics does not make the proof unnecessarily difficult or unwieldy. Both smallstep and big-step semantics are commonly used, and the latter is typically given by an inductively defined relation. In this paper, we consider an alternative: using a recursive function akin to an interpreter for the language. The advantages include a better induction theorem, less duplication, accessibility to ordinary functional programmers, and the ease of doing symbolic simulation in proofs via rewriting. We believe that this style of semantics is well suited for compiler verification, including proofs of divergence preservation. We do not claim the invention of this style of semantics: our contribution here is to clarify its value, and to explain how it supports several language features that might appear to require a relational or small-step approach. We illustrate the technique on a simple imperative language with C-like for-loops and a break statement, and compare it to a variety of other approaches. We also provide ML and lambda-calculus based examples to illustrate its generality. © Springer-Verlag Berlin Heidelberg 2016",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-84961751168
"Danner N., Licata D.R., Ramyaa R.","14017877500;18437411800;36180114200;","Denotational cost semantics for functional languages with inductive types",2015,"ACM SIGPLAN Notices","50","9",,"140","151",,5,"10.1145/2784731.2784749","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112822108&doi=10.1145%2f2784731.2784749&partnerID=40&md5=4f2236f0dbe6f0694c3c92051cdb50c1","A central method for analyzing the asymptotic complexity of a functional program is to extract and then solve a recurrence that expresses evaluation cost in terms of input size. The relevant notion of input size is often specific to a datatype, with measures including the length of a list, the maximum element in a list, and the height of a tree. In this work, we give a formal account of the extraction of cost and size recurrences from higher-order functional programs over inductive datatypes. Our approach allows a wide range of programmer-specified notions of size, and ensures that the extracted recurrences correctly predict evaluation cost. To extract a recurrence from a program, we first make costs explicit by applying a monadic translation from the source language to a complexity language, and then abstract datatype values as sizes. Size abstraction can be done semantically, working in models of the complexity language, or syntactically, by adding rules to a preorder judgement. We give several different models of the complexity language, which support different notions of size. Additionally, we prove by a logical relations argument that recurrences extracted by this process are upper bounds for evaluation cost; the proof is entirely syntactic and therefore applies to all of the models we consider. © 2015 ACM.",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-85112822108
